Data Import Template,,,,,,,,,
Table:,Employee Checkin,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Notes:,,,,,,,,,
Please do not change the template headings.,,,,,,,,,
First data column must be blank.,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,
,,,,,,,,,
DocType:,Employee Checkin,,,,,,,,
Column Labels:,ID,Employee,Time,Employee Name,Log Type,Shift,Location / Device ID,Skip Auto Attendance,Attendance Marked
Column Name:,name,employee,time,employee_name,log_type,shift,device_id,skip_auto_attendance,attendance
Mandatory:,Yes,Yes,Yes,No,No,No,No,No,No
Type:,Data,Link,Datetime,Data,Select,Link,Data,Check,Link
Info:,,Valid Employee,dd-mm-yyyy,,"One of: IN, OUT",Valid Shift Type,,0 or 1,Valid Attendance
Start entering data below this line,,,,,,,,,
,,HR-EMP-00014,2/25/2020 10:58,,IN,,,,
,,HR-EMP-00004,2/25/2020 11:37,,IN,,,,
,,HR-EMP-00009,2/25/2020 18:39,,OUT,,,,
,,HR-EMP-00001,2/25/2020 19:00,,OUT,,,,
,,HR-EMP-00004,2/25/2020 19:01,,OUT,,,,
,,HR-EMP-00012,2/25/2020 19:01,,OUT,,,,
,,HR-EMP-00007,2/25/2020 19:08,,OUT,,,,
,,HR-EMP-00009,2/26/2020 9:51,,IN,,,,
,,HR-EMP-00014,2/26/2020 10:06,,IN,,,,
,,HR-EMP-00012,2/26/2020 10:12,,IN,,,,
,,HR-EMP-00001,2/26/2020 10:48,,IN,,,,
,,HR-EMP-00004,2/26/2020 11:12,,IN,,,,
,,HR-EMP-00009,2/26/2020 18:39,,OUT,,,,
,,HR-EMP-00014,2/26/2020 19:06,,OUT,,,,
,,HR-EMP-00012,2/26/2020 19:06,,OUT,,,,
,,HR-EMP-00001,2/26/2020 19:09,,OUT,,,,
,,HR-EMP-00004,2/26/2020 19:43,,OUT,,,,
,,HR-EMP-00009,2/27/2020 9:47,,IN,,,,
,,HR-EMP-00014,2/27/2020 10:13,,IN,,,,
,,HR-EMP-00012,2/27/2020 10:19,,IN,,,,
,,HR-EMP-00004,2/27/2020 12:10,,IN,,,,
,,HR-EMP-00009,2/27/2020 18:37,,OUT,,,,
,,HR-EMP-00004,2/27/2020 18:58,,OUT,,,,
,,HR-EMP-00014,2/27/2020 18:59,,OUT,,,,
,,HR-EMP-00012,2/27/2020 18:59,,OUT,,,,
,,HR-EMP-00009,2/28/2020 9:47,,IN,,,,
,,HR-EMP-00012,2/28/2020 10:47,,IN,,,,
,,HR-EMP-00001,2/28/2020 10:52,,IN,,,,
,,HR-EMP-00004,2/28/2020 11:41,,IN,,,,
,,HR-EMP-00009,2/28/2020 18:36,,OUT,,,,
,,HR-EMP-00004,2/28/2020 19:06,,OUT,,,,
,,HR-EMP-00012,2/28/2020 19:07,,OUT,,,,
,,HR-EMP-00001,2/28/2020 19:07,,OUT,,,,
,,HR-EMP-00009,2/29/2020 9:57,,IN,,,,
,,HR-EMP-00012,2/29/2020 10:34,,IN,,,,
,,HR-EMP-00001,2/29/2020 10:34,,IN,,,,
,,HR-EMP-00014,2/29/2020 10:34,,IN,,,,
,,HR-EMP-00004,2/29/2020 11:31,,IN,,,,
,,HR-EMP-00007,2/29/2020 12:24,,IN,,,,
,,HR-EMP-00009,2/29/2020 19:04,,OUT,,,,
,,HR-EMP-00014,2/29/2020 19:05,,OUT,,,,
,,HR-EMP-00004,2/29/2020 19:06,,OUT,,,,
,,HR-EMP-00001,2/29/2020 19:10,,OUT,,,,
,,HR-EMP-00012,2/29/2020 19:13,,OUT,,,,
,,HR-EMP-00007,2/29/2020 19:13,,OUT,,,,
